receptor_id,ligand_id,receptor_design_ligand_id,receptor_design_rank,receptor_design_design_to_target_iptm,receptor_design_min_design_to_target_pae,boltz2_affinity_probability_binary,boltz2_affinity_pred_value
naltrexone_rank13,naltrexone,naltrexone_rank13__naltrexone,13,0.83249,1.8843,0.2942570149898529,0.7477409640947977
naltrexone_rank13,nitazene,naltrexone_rank13__nitazene,13,0.83249,1.8843,0.515201618274053,0.7202622393767039
naltrexone_rank14,DAMGO,naltrexone_rank14__DAMGO,14,0.82957,2.00216,0.14129679277539253,1.4583357572555542
naltrexone_rank14,morphine,naltrexone_rank14__morphine,14,0.82957,2.00216,0.19266185661156973,1.6839348077774048
naltrexone_rank14,naltrexone,naltrexone_rank14__naltrexone,14,0.82957,2.00216,0.15716924021641412,1.4216400384902954
naltrexone_rank14,nitazene,naltrexone_rank14__nitazene,14,0.82957,2.00216,0.5346443553765615,1.260906497637431
naltrexone_rank15,DAMGO,naltrexone_rank15__DAMGO,15,0.8266,1.8144,0.14268891513347626,1.656520406405131
naltrexone_rank15,morphine,naltrexone_rank15__morphine,15,0.8266,1.8144,0.1582610880335172,1.3654260635375977
naltrexone_rank15,naltrexone,naltrexone_rank15__naltrexone,15,0.8266,1.8144,0.146745299299558,0.996044933795929
naltrexone_rank15,nitazene,naltrexone_rank15__nitazene,15,0.8266,1.8144,0.4668394426504771,0.4614098370075226
naltrexone_rank16,DAMGO,naltrexone_rank16__DAMGO,16,0.82145,1.54665,0.23361846804618835,1.7165491580963135
naltrexone_rank16,morphine,naltrexone_rank16__morphine,16,0.82145,1.54665,0.15510319421688715,2.2803032398223877
naltrexone_rank16,naltrexone,naltrexone_rank16__naltrexone,16,0.82145,1.54665,0.5784125924110413,0.6717531581719717
naltrexone_rank16,nitazene,naltrexone_rank16__nitazene,16,0.82145,1.54665,0.5646961430708567,0.9626768231391907
naltrexone_rank17,DAMGO,naltrexone_rank17__DAMGO,17,0.81943,2.22552,0.11683438904583454,0.6612802147865295
naltrexone_rank17,morphine,naltrexone_rank17__morphine,17,0.81943,2.22552,0.2701219966014226,0.90205846230189
naltrexone_rank17,naltrexone,naltrexone_rank17__naltrexone,17,0.81943,2.22552,0.3245132515827815,0.5344577531019846
naltrexone_rank17,nitazene,naltrexone_rank17__nitazene,17,0.81943,2.22552,0.42897231380144757,0.4685291697581609
naltrexone_rank18,DAMGO,naltrexone_rank18__DAMGO,18,0.81368,1.94601,0.1384532762070497,1.32466721534729
naltrexone_rank18,morphine,naltrexone_rank18__morphine,18,0.81368,1.94601,0.12669900308052698,1.33705739180247
naltrexone_rank18,naltrexone,naltrexone_rank18__naltrexone,18,0.81368,1.94601,0.1266415665547053,0.9433785875638326
naltrexone_rank18,nitazene,naltrexone_rank18__nitazene,18,0.81368,1.94601,0.17616033554077148,1.1543352802594502
naltrexone_rank19,DAMGO,naltrexone_rank19__DAMGO,19,0.81291,2.27251,0.11596951012810071,0.9850679437319437
naltrexone_rank19,morphine,naltrexone_rank19__morphine,19,0.81291,2.27251,0.18196765954295793,1.2636711200078328
naltrexone_rank19,naltrexone,naltrexone_rank19__naltrexone,19,0.81291,2.27251,0.19125114381313324,0.8156186938285828
naltrexone_rank19,nitazene,naltrexone_rank19__nitazene,19,0.81291,2.27251,0.3267315129439036,1.0135418176651
naltrexone_rank20,DAMGO,naltrexone_rank20__DAMGO,20,0.80936,2.13628,0.1525564913948377,1.3292190631230671
naltrexone_rank20,morphine,naltrexone_rank20__morphine,20,0.80936,2.13628,0.21041572590668997,1.4741054773330688
naltrexone_rank20,naltrexone,naltrexone_rank20__naltrexone,20,0.80936,2.13628,0.2845753530661265,0.7233765323956808
naltrexone_rank20,nitazene,naltrexone_rank20__nitazene,20,0.80936,2.13628,0.4337105055650075,1.1247353156407673
naltrexone_rank21,DAMGO,naltrexone_rank21__DAMGO,21,0.80463,2.26519,0.1509621019164721,1.665580153465271
naltrexone_rank21,morphine,naltrexone_rank21__morphine,21,0.80463,2.26519,0.21923542519410452,1.6110048691431682
naltrexone_rank21,naltrexone,naltrexone_rank21__naltrexone,21,0.80463,2.26519,0.27749956647555035,1.3639899492263794
naltrexone_rank21,nitazene,naltrexone_rank21__nitazene,21,0.80463,2.26519,0.34968023498853046,0.8705872893333435
naltrexone_rank22,DAMGO,naltrexone_rank22__DAMGO,22,0.79988,2.15247,0.11219654853145282,0.6032364169756571
naltrexone_rank22,morphine,naltrexone_rank22__morphine,22,0.79988,2.15247,0.22380908826986948,1.076866368452708
naltrexone_rank22,naltrexone,naltrexone_rank22__naltrexone,22,0.79988,2.15247,0.3957759241263072,0.6418510675430298
naltrexone_rank22,nitazene,naltrexone_rank22__nitazene,22,0.79988,2.15247,0.5733957389990488,0.8825505971908569
naltrexone_rank23,DAMGO,naltrexone_rank23__DAMGO,23,0.79601,2.22287,0.1851574182510376,0.7682924866676331
naltrexone_rank23,morphine,naltrexone_rank23__morphine,23,0.79601,2.22287,0.23920014003912607,1.2960681517918904
naltrexone_rank23,naltrexone,naltrexone_rank23__naltrexone,23,0.79601,2.22287,0.2239961971839269,0.6622224052747091
naltrexone_rank23,nitazene,naltrexone_rank23__nitazene,23,0.79601,2.22287,0.47677337129910785,1.053375740845998
naltrexone_rank24,DAMGO,naltrexone_rank24__DAMGO,24,0.78744,2.28549,0.13929920146862665,1.5827042659123738
naltrexone_rank24,morphine,naltrexone_rank24__morphine,24,0.78744,2.28549,0.27958885331948596,1.4537150462468464
naltrexone_rank24,naltrexone,naltrexone_rank24__naltrexone,24,0.78744,2.28549,0.24120928347110748,1.2412029504776
naltrexone_rank24,nitazene,naltrexone_rank24__nitazene,24,0.78744,2.28549,0.22035970787207285,1.23685355981191
naltrexone_rank25,DAMGO,naltrexone_rank25__DAMGO,25,0.78415,2.21621,0.29428193469842273,1.6182496547698975
naltrexone_rank25,morphine,naltrexone_rank25__morphine,25,0.78415,2.21621,0.14748355249563852,1.404918869336446
naltrexone_rank25,naltrexone,naltrexone_rank25__naltrexone,25,0.78415,2.21621,0.27038490772247314,1.5176076491673787
naltrexone_rank25,nitazene,naltrexone_rank25__nitazene,25,0.78415,2.21621,0.2849501719077428,1.4172093470891316
naltrexone_rank26,DAMGO,naltrexone_rank26__DAMGO,26,0.77966,2.20828,0.10655198991298676,1.7204991579055786
naltrexone_rank26,morphine,naltrexone_rank26__morphine,26,0.77966,2.20828,0.20509789884090424,1.6502004861831665
naltrexone_rank26,naltrexone,naltrexone_rank26__naltrexone,26,0.77966,2.20828,0.1695849746465683,0.9623201489448547
naltrexone_rank26,nitazene,naltrexone_rank26__nitazene,26,0.77966,2.20828,0.4360458254814148,1.0524955987930298
naltrexone_rank27,DAMGO,naltrexone_rank27__DAMGO,27,0.77375,2.25217,0.1479615718126297,1.2275873223940532
naltrexone_rank27,morphine,naltrexone_rank27__morphine,27,0.77375,2.25217,0.19407771527767181,1.4638481537501018
naltrexone_rank27,naltrexone,naltrexone_rank27__naltrexone,27,0.77375,2.25217,0.2330380082130432,1.005225161711375
naltrexone_rank27,nitazene,naltrexone_rank27__nitazene,27,0.77375,2.25217,0.4180919826030731,1.116950551668803
naltrexone_rank30,DAMGO,naltrexone_rank30__DAMGO,30,0.7884,2.45995,0.1959491620461146,1.2547269264856975
naltrexone_rank30,morphine,naltrexone_rank30__morphine,30,0.7884,2.45995,0.24865856766700745,1.070528268814087
naltrexone_rank30,naltrexone,naltrexone_rank30__naltrexone,30,0.7884,2.45995,0.15699841330448785,1.1065622568130493
naltrexone_rank30,nitazene,naltrexone_rank30__nitazene,30,0.7884,2.45995,0.432987521092097,1.1008046666781108
naltrexone_rank31,DAMGO,naltrexone_rank31__DAMGO,31,0.76169,2.49632,0.6286956270535787,1.2773139874140422
naltrexone_rank31,morphine,naltrexone_rank31__morphine,31,0.76169,2.49632,0.26304129262765247,1.3801316022872925
naltrexone_rank31,naltrexone,naltrexone_rank31__naltrexone,31,0.76169,2.49632,0.3003633717695872,1.2935798168182373
