SMILES,Visits,Score,Q_Value,Depth
CCC1=CC(=O)C(=Cc2cc(Br)cc(S(=O)(=O)Nc3c(F)cc(C)cc3F)c2)CC1,1,9.31,8.708214285714288,31
Cc1ccc(C2(O)CCC(=O)C(=Cc3cc(Cl)cc(Cl)c3)C2)cc1S(=O)(=O)Nc1ccc(F)c(O)c1F,1,9.31,8.826333333333334,23
Cc1ccc(C2(O)CC(C)(C)OC(C)(C)C2)c(F)c1S(=O)(=O)Nc1ccc(C(F)(F)F)cc1F,1,9.31,8.449310344827586,19
Cc1ccc(C2(O)CCC(=O)C(=Cc3cccc(C=O)c3)C2)cc1S(=O)(=O)Nc1c(F)c(F)c(C)c(F)c1F,1,9.309999999999999,8.826333333333334,21
Cc1ccccc1C1(Oc2ccc(C(F)(F)F)cc2N)CCN(c2cccc(C3(O)CCCCC3)c2O)CC1,1,9.309999999999999,8.615,26
CC1=CC(=O)C(=Cc2cc(S(=O)(=O)Nc3c(F)cc(F)cc3F)ccc2F)CC1,29,9.3,8.71379310344828,22
Cc1c(NS(=O)(=O)c2cccc(C=C3CC(=O)C(C)C3=O)c2)cc(C=C2CC(Br)C2)cc1C(F)(F)F,1,9.3,8.814285714285713,23
Cc1cc(C=C2CCCCC2(O)c2ccc(S(=O)(=O)Nc3c(F)cc(F)cc3F)c(C)c2)c(CCl)cc1C,1,9.3,8.826333333333334,24
Cc1c(F)cc(NS(=O)(=O)c2cccc(C=C3C(=O)CC4CC(C)CC34)c2)cc1F,4,9.3,8.338928571428571,26
Cc1cc(C(F)(F)F)cc(C)c1NS(=O)(=O)c1cccc(C2(O)CCCCCCCC2)c1Cl,1,9.3,8.509333333333332,25
O=C1C=C(Nc2c(F)cc(F)c(O)c2F)CCC1=Cc1cccc(S(=O)(=O)Cl)c1,1,9.299999999999999,8.87,21
Cc1ccc(NS(=O)(=O)c2ccc(C=C3C=CCC(C)C3)cc2C)cc1C(F)(F)F,1,9.290000000000001,8.544,20
CC1=C(CNC(=O)Nc2c(F)cc(F)c(Oc3c(F)cc(C)cc3F)c2F)CCC1,1,9.290000000000001,8.603793103448275,22
Cc1cc(C=O)cc(C=C2CC(O)(c3cccc(S(=O)(=O)Nc4c(F)cc(F)c(O)c4F)c3)CCC2=O)c1,1,9.29,8.826333333333334,21
Cc1cc(C2(O)CCCCCCCC2)c(Cl)c(S(=O)(=O)Nc2cc(C(F)(F)F)ccc2C(F)(F)F)c1C,1,9.280000000000001,8.453333333333331,24
C=C1CC(c2cc(NS(=O)(=O)c3cccc(C=C4CC(=O)C(C)C4=O)c3)c(C)c(C(F)(F)F)c2)C1,1,9.28,8.814285714285713,21
Cc1cc(F)c(O)c(NS(=O)(=O)c2cc(C3(O)CCC(=O)C(=Cc4cccc(O)c4)C3)ccc2Br)c1F,1,9.28,8.826333333333334,21
Cc1cc(Oc2cc(NS(=O)(=O)c3cc(C4(O)CCC(C)CC4C)c(C)cc3C)c(C)cc2C)c(C)cc1O,1,9.28,8.161666666666669,23
CC1=C(C)C(Nc2ccc(S(=O)(=O)N(c3cccc(C(F)(F)F)c3)S(=O)(=O)c3c(F)ccc(C)c3F)cc2)CC1=O,1,9.28,8.03551724137931,19
O=S(=O)(Nc1cc(C(F)(F)F)ccc1F)c1cccc(C2(O)CCCCCCCC2)c1O,1,9.28,8.615,23
O=S(=O)(NC1CC2(CCC2Nc2c(F)cccc2C(F)(F)F)C1)c1ccc(F)cc1,1,9.279999999999998,7.825862068965518,23
Nc1ccc(C(F)(F)F)cc1NS(=O)(=O)c1cccc(Br)c1C1(O)CCCCCCCCC1,1,9.27,8.615,21
O=C1C=C(Nc2ccc(Nc3ccc(Br)c(F)c3)cc2Nc2ccccc2)CCC1=Cc1ccc(F)c(F)c1,1,9.27,8.164827586206897,24
Cc1cc(S(=O)(=O)Nc2cc(C(F)(F)F)c(F)cc2F)cc(C)c1C1(O)C=C(N)CC(C)C1,1,9.260000000000002,8.413928571428572,23
Cc1cc(O)c(C=C2CCC(O)(c3ccc(C)c(S(=O)(=O)Nc4c(F)cc(F)c(O)c4F)c3)C2=O)cc1C,1,9.260000000000002,8.826333333333334,24
CC1=C(C)C(=O)C(=Cc2cccc(S(=O)(=O)Nc3c(C)c(C(F)(F)F)cc(C(F)(F)F)c3C)c2)CC1,1,9.260000000000002,8.518333333333334,24
Cc1cc(F)c(C(F)(F)F)cc1NS(=O)(=O)c1ccc(F)c(C=C2C(=O)CC(=O)CC2C)c1,1,9.26,8.814285714285713,20
CC1=C(O)C(=O)C(=Cc2cccc(S(=O)(=O)Nc3cc(C(F)(F)F)c(F)cc3Cl)c2)C1,1,9.26,8.819666666666667,18
CC1CC(=O)C(=Cc2cccc(S(=O)(=O)Nc3cc(F)c(C(F)(F)F)cc3N)c2)C(C)C1,0,9.26,0.0,25
