source	mc_kt	ntrials	score	rmsd_native	open_distance
BackRub	1.5	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	5000	-515.3593059391586	2.5986151695251465	18.005868911743164
BackRub	1.5	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	5000	-513.0882682237689	2.5991570949554443	18.005868911743164
BackRub	1.5	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	5000	-514.1312861513645	2.6000185012817383	18.005868911743164
BackRub	1.5	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	1.5	5000	-512.9643924712068	2.600346088409424	18.005868911743164
BackRub	1.5	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	10.0	10000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	10000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	10000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	10000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	10000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	10000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	10000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	10000	-513.625963348821	2.6034908294677734	18.005868911743164
BackRub	10.0	10000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	10000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	10000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	10000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	10000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	10000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	10000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	10000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	10000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	10000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	10000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	10000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	10.0	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	10.0	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	10.0	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	10.0	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	10.0	1000	-514.9327048345579	2.600292444229126	18.005868911743164
BackRub	10.0	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	10.0	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	10.0	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	10.0	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	10.0	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	10.0	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	10.0	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	10.0	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	10.0	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	10.0	1000	-513.1232608771339	2.5992636680603027	18.005868911743164
BackRub	10.0	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	10.0	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	10.0	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	10.0	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	10.0	5000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	5000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	5000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	5000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	5000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	5000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	5000	-513.3613137186162	2.60308837890625	18.005868911743164
BackRub	10.0	5000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	5000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	5000	-513.1266513854451	2.603454351425171	18.005868911743164
BackRub	10.0	5000	-512.9791142613213	2.615291118621826	18.005868911743164
BackRub	10.0	5000	-513.1266513854451	2.603454351425171	18.005868911743164
